id,country_iso2,country,provider,provider_type,provider_role,product,method,channel,pricing_model,pricing_model_code,variable_pct_basis,variable_pct_min,variable_pct_max,fixed_fee_min,fixed_fee_max,minimum_fee,fee_currency,monthly_fee,monthly_currency,monthly_fee_mode,non_transaction_fees,card_schemes,card_profile,all_in_complete,tax_treatment,reference_transaction_eur,fee_reference_min_czk,fee_reference_max_czk,effective_reference_min_pct,effective_reference_max_pct,condition,source_url,verification,verification_state,verification_scope,price_verified_on,monitoring_level,source_status,source_checked_at,source_last_attempt_at,source_last_attempt_status
AT-adyen-visa-mastercard-markup-card,AT,Rakousko,Adyen,Acquirer,acquirer,EEA spotřebitelská debetní karta (IC++ srovnávací odhad),card,online,IC++,icpp,provider_published,0.6,0.6,0.11,0.11,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",consumer,False,included_or_not_applicable,20.0,7.926,8.1917,1.641,1.696,"Publikovaná cena je 0,60 % + zpracovatelský poplatek. Srovnávací sazba používá 0,20 % interchange a EEA Visa/Mastercard debit benchmark včetně procentní a pevné scheme složky.",https://www.adyen.com/pricing,auto-checked by country (Adyen pricing + payment-method API),verified_automated,price,2026-08-31,price_parser,ok,2026-08-31T11:11:33+00:00,2026-08-31T11:11:33+00:00,ok
AT-cardcomplete-card-registry,AT,Rakousko,card complete,Acquirer,acquirer,Merchant acquiring,card,online,Not public,not_public,not_applicable,,,,,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",unspecified,False,included_or_not_applicable,20.0,,,,,,https://www.cardcomplete.com/fuer-unternehmen/,ručně ověřena role a lokální nabídka na oficiálním zdroji 18. 8. 2026; poskytovatel na něm neuvádí kompletní merchant sazbu,verified_manual,service_or_role,2026-08-18,manual,manual,,,not_attempted
AT-fiservaustria-card-registry,AT,Rakousko,Fiserv,Acquirer,acquirer,Merchant acquiring,card,online,Not public,not_public,not_applicable,,,,,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",unspecified,False,included_or_not_applicable,20.0,,,,,,https://merchants.fiserv.com/en-europe/,ručně ověřena role a lokální nabídka na oficiálním zdroji 18. 8. 2026; poskytovatel na něm neuvádí kompletní merchant sazbu,verified_manual,service_or_role,2026-08-18,manual,manual,,,not_attempted
AT-globalpayments-webpay-card-registry,AT,Rakousko,Global Payments,Acquirer,acquirer,GP webpay – rakouské a EU spotřebitelské karty,card,ecommerce,Blended,blended,provider_published,1,1,0,0,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",consumer,True,included_or_not_applicable,20.0,4.83,4.83,1.0,1.0,Veřejná sazba 1 % pro spotřebitelské karty vydané v Rakousku nebo EU; firemní a mimoevropské karty 2 %.,https://www.globalpayments.at/de-at/online-zahlungen/gp-webpay,ručně ověřeno na oficiální rakouské produktové stránce Global Payments 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-gocardless-a2a-registry,AT,Rakousko,GoCardless,A2A poskytovatel,a2a_provider,Standard – SEPA Direct Debit,a2a,online,Blended,blended,provider_published,1,1,0.2,0.2,,EUR,0,EUR,additional,[],[],not_applicable,True,included_or_not_applicable,20.0,9.66,9.66,2.0,2.0,Jednorázové i opakované domácí eurové bankovní platby; poplatek je zastropován na 2 EUR.,https://gocardless.com/pricing-eu,ručně ověřeno na oficiálním evropském ceníku a v seznamu podporovaných zemí GoCardless 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-hobex-smart-easy-card,AT,Rakousko,hobex,Acquirer,acquirer,SMART EASY – Visa/Mastercard/V PAY/Maestro,card,pos,Blended,blended,provider_published,1.35,1.35,0.1,0.1,,EUR,4.9,EUR,additional,"[{""kind"": ""monthly_service"", ""amount"": 4.9, ""currency"": ""EUR"", ""interval"": ""monthly"", ""mode"": ""additional""}]","[""visa"", ""mastercard""]",unspecified,True,included_or_not_applicable,20.0,9.4088,9.4088,1.948,1.948,"Čtečka bez pořizovací ceny; roční fakturace 58,80 EUR a minimální délka smlouvy 24 měsíců.",https://hobex.at/wp-content/uploads/2024/12/hobex_folder_allgemein.pdf,ručně ověřeno v oficiálním produktovém ceníku hobex 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-hobex-smart-go-card,AT,Rakousko,hobex,Acquirer,acquirer,SMART GO – Visa/Mastercard/V PAY/Maestro,card,pos,Blended,blended,provider_published,1.75,1.75,0.1,0.1,,EUR,0,EUR,additional,"[{""kind"": ""card_reader_purchase"", ""amount"": 99, ""currency"": ""EUR"", ""interval"": ""one_off""}]","[""visa"", ""mastercard""]",unspecified,True,included_or_not_applicable,20.0,10.8675,10.8675,2.25,2.25,Bez smluvní vázanosti a měsíčního paušálu; jednorázově 99 EUR za čtečku.,https://hobex.at/wp-content/uploads/2024/12/hobex_folder_allgemein.pdf,ručně ověřeno v oficiálním produktovém ceníku hobex 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-mollie-eps-a2a,AT,Rakousko,Mollie,A2A poskytovatel,a2a_provider,EPS,a2a,online,Blended,blended,provider_published,1.5,1.5,0.25,0.25,,EUR,0,EUR,additional,[],[],not_applicable,True,included_or_not_applicable,20.0,13.2825,13.2825,2.75,2.75,,https://www.mollie.com/pricing?countryCode=at&currency=EUR,ručně ověřeno na oficiálním rakouském ceníku Mollie 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-payoneaustria-card-registry,AT,Rakousko,PAYONE,Acquirer,acquirer,Basic – debetní karty,card,online,Blended,blended,provider_published,0.89,0.89,0,0,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",unspecified,True,included_or_not_applicable,20.0,4.2987,4.2987,0.89,0.89,Běžná veřejná sazba Basic pro debetní karty; časově omezená kreditní promo sazba skončila 30. 4. 2026 a není použita.,https://www.payone.com/AT-de/angebote,ručně ověřeno na oficiální rakouské nabídkové stránce PAYONE 20. 8. 2026,verified_manual,price,2026-08-20,manual,manual,,,not_attempted
AT-readypay-hobex-card,AT,Rakousko,readyPay / hobex,Kanál acquirera,acquirer_sales_channel,Kartenzahlung,card,online,Blended,blended,provider_published,1.23,1.23,0,0,,EUR,0,EUR,additional,[],"[""visa"", ""mastercard""]",unspecified,True,included_or_not_applicable,20.0,5.9409,5.9409,1.23,1.23,,https://ready2order.com/at/funktionen/kartenzahlung/,ručně ověřeno na oficiálním ceníku readyPay 18. 8. 2026,verified_manual,price,2026-08-18,manual,manual,,,not_attempted
AT-truelayer-a2a-registry,AT,Rakousko,TrueLayer,A2A poskytovatel,a2a_provider,A2A převod,a2a,online,Not public,not_public,not_applicable,,,,,,EUR,0,EUR,additional,[],[],not_applicable,False,included_or_not_applicable,20.0,,,,,,https://docs.truelayer.com/docs/get-information-about-banking-providers,ručně ověřena role a lokální nabídka na oficiálním zdroji 19. 8. 2026; poskytovatel na něm neuvádí kompletní merchant sazbu,verified_manual,service_or_role,2026-08-19,manual,manual,,,not_attempted
AT-trustly-a2a-registry,AT,Rakousko,Trustly,A2A poskytovatel,a2a_provider,A2A převod,a2a,online,Not public,not_public,not_applicable,,,,,,EUR,0,EUR,additional,[],[],not_applicable,False,included_or_not_applicable,20.0,,,,,,https://developers.trustly.com/,ručně ověřena role a lokální nabídka na oficiálním zdroji 19. 8. 2026; poskytovatel na něm neuvádí kompletní merchant sazbu,verified_manual,service_or_role,2026-08-19,manual,manual,,,not_attempted
